nav-link href,listing-location,price,bed,bath,listing-floorarea,listing-floorarea 2
https://www.rumah.com/listing-properti/dijual-dijual-rumah-semi-furnished-3-lt-di-discovery-bintaro-jaya-sektor-9-tangsel-oleh-erna-wati-21760871,"Bintaro, Tangerang Selatan, Banten","3,5 M",6,3,200 m²,Rp 25.925.926 per m²
https://www.rumah.com/listing-properti/dijual-dijual-rumah-siap-huni-vila-dago-pamulang-tangerang-selatan-oleh-syaeful-kamal-21760870,"Vila Dago Pamulang Blok C 7 No. 1 H, Pamulang, Tangerang Selatan, Banten",925 jt,3,2,56 m²,Rp 9.840.426 per m²
https://www.rumah.com/listing-properti/dijual-dijual-rumah-2-lt-siap-huni-dalam-cluster-di-jurang-mangu-pondok-aren-tangsel-oleh-erna-wati-21760854,"Pondok Aren, Tangerang Selatan, Banten","1,5 M",3,2,144 m²,Rp 17.857.143 per m²
https://www.rumah.com/listing-properti/dijual-dijual-rumah-2-lt-siap-huni-dalam-komplek-di-pondok-aren-tangsel-oleh-erna-wati-21760815,"Pondok Aren, Tangerang Selatan, Banten","1,6 M",4,,130 m²,Rp 13.913.043 per m²
https://www.rumah.com/listing-properti/dijual-rumah-ready-siap-huni-nempel-sekolahan-diselatan-bsd-oleh-devi-herniati-21760814,"., Bintaro, Tangerang Selatan, Banten","560,5 jt",2,1,50 m²,Rp 6.227.778 per m²
https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-lingkungan-elit-di-taman-telaga-golf-bsd-tangerang-selatan-oleh-benny-thio-19972674,"Taman telaga golf - BSD, BSD, Tangerang Selatan, Banten",15 M,6,8,800 m²,Rp 23.291.925 per m²
https://www.rumah.com/listing-properti/dijual-rumah-dijual-hook-3-lantai-di-palmyra-alam-sutera-tangerang-selatan-oleh-benny-thio-19972794,"Sutera Palmyra - Alam sutera, Alam Sutera, Tangerang Selatan, Banten","7,2 M",9,5,500 m²,Rp 19.618.529 per m²
https://www.rumah.com/listing-properti/dijual-cipadu-tangrang-banten-oleh-yon-ik-21760799,"Cipadu tangrang banten, Pondok Aren, Tangerang Selatan, Banten",1 M,2,1,36 m²,Rp 20.000.000 per m²
https://www.rumah.com/listing-properti/dijual-rumah-dijual-semifurnish-di-alam-sutera-tangerang-selatan-oleh-benny-thio-21454491,"Jln. Sutera gardenia - Alam sutera Tangsel, Alam Sutera, Tangerang Selatan, Banten","3,1 M",5,3,145 m²,Rp 19.375.000 per m²
https://www.rumah.com/listing-properti/dijual-dijual-rumah-hitung-tanah-pinggir-jalan-cocok-untuk-usaha-oleh-christine-lusiana-sihombing-21760774,"Bintaro tengah dalam, Bintaro, Tangerang Selatan, Banten",3 M,3,2,180 m²,Rp 16.666.667 per m²
https://www.rumah.com/listing-properti/dijual-bumi-serpong-damai-oleh-heny-erawati-21473225,"Resident One, BSD, Tangerang Selatan, Banten","1,95 M",4,3,150 m²,Rp 18.055.556 per m²
